TeamId,RankGroup,DaysFromStart,Score,k_cat,a,b,c,d
171926,Other,2,0.5,a,1,0,0,0
171927,High,2,0.64642,a,1,0,0,0
171927,High,2,0.65864,a,1,0,0,0
171927,High,2,0.66001,a,1,0,0,0
171952,Other,2,0.5,a,1,0,0,0
171927,High,2,0.74143,b,0,1,0,0
171962,Other,2,0.63694,a,1,0,0,0
171962,Other,2,0.65182,a,1,0,0,0
171981,Other,3,0.5,a,1,0,0,0
171985,Other,3,0.5,a,1,0,0,0
171988,Other,3,0.5,a,1,0,0,0
171991,Other,3,0.5,a,1,0,0,0
171997,Other,3,0.5,a,1,0,0,0
171981,Other,3,0.6766,a,1,0,0,0
172007,Other,3,0.5,a,1,0,0,0
172011,Other,3,0.5,a,1,0,0,0
172015,Other,3,0.65253,a,1,0,0,0
171981,Other,3,0.6903100000000001,a,1,0,0,0
171985,Other,3,0.63907,a,1,0,0,0
171997,Other,3,0.65253,a,1,0,0,0
172033,Other,3,0.6981,a,1,0,0,0
172033,Other,3,0.70573,a,1,0,0,0
172040,Other,3,0.5,a,1,0,0,0
171988,Other,3,0.6817300000000001,a,1,0,0,0
171985,Other,3,0.6557,a,1,0,0,0
172059,Other,3,0.65253,a,1,0,0,0
172040,Other,3,0.65253,a,1,0,0,0
172072,Other,3,0.70981,a,1,0,0,0
172084,Other,3,0.54157,a,1,0,0,0
172015,Other,3,0.66719,a,1,0,0,0
172088,Other,3,0.63999,a,1,0,0,0
171985,Other,3,0.6673899999999999,a,1,0,0,0
172088,Other,3,0.65253,a,1,0,0,0
172015,Other,3,0.69247,a,1,0,0,0
172088,Other,3,0.6786300000000001,a,1,0,0,0
172103,Other,3,0.7013699999999999,a,1,0,0,0
172105,Other,3,0.5,a,1,0,0,0
172080,Other,3,0.6875399999999999,a,1,0,0,0
172139,Other,3,0.68934,a,1,0,0,0
172139,Other,3,0.69058,a,1,0,0,0
172146,Other,3,0.68329,a,1,0,0,0
172139,Other,3,0.6977399999999999,a,1,0,0,0
172117,Other,3,0.5,a,1,0,0,0
172165,Other,3,0.6714100000000001,a,1,0,0,0
172052,Other,3,0.6903100000000001,a,1,0,0,0
172172,Other,3,0.75095,b,0,1,0,0
172150,Other,3,0.5,a,1,0,0,0
172189,Other,3,0.5,a,1,0,0,0
177230,Other,3,0.67707,a,1,0,0,0
