Neighborhood,Latitude,Longitude,,,,
Rogers Park,42.0105295,-87.6871141,,,,
West Ridge,42.0013395,-87.7102254,,,,
Uptown,41.9661381,-87.670141,,,,
Lincoln Square,41.9699484,-87.6933539,,,,
North Center,41.9469191,-87.7026083,,,,
Lake View,41.947028,-87.6695682,,,,
Lincoln Park,41.9219581,-87.6864827,,,,
Near North Side,41.8990123,-87.663896,,,,
Edgewater,41.9872003,-87.678661,,,,
Albany Park,41.968552,-87.7388912,,,,
Irving Park,41.9535453,-87.7385973,,,,
Avondale,41.9394128,-87.725175,,,,
Logan Square,41.9228947,-87.7268974,,,,
Humboldt Park,41.9009034,-87.7340027,,,,
West Town,41.9021415,-87.7082195,,,,
East Garfield Pk,41.8787499,-87.7223253,,,,
Near West Side,41.8795174,-87.6898618,,,,
Lower West Side,41.8474415,-87.6791252,,,,
Loop,41.8790031,-87.637882,,,,
Near South Side,41.8566303,-87.6379074,,,,
Douglas,41.8347344,-87.6338444,,,,
Grand Blvd,41.8129596,-87.6353946,,,,
Oakland,41.8241056,87.6111497,,,,
Kenwood,41.8097234,-87.6023627,,,,
Hyde Park,41.7942646,-87.6082955,,,,
Bridgeport,41.83644,-87.6669761,,,,
