AvgSpeed,BCFG,BR,Cool,DZ,Date,Depth,DewPoint,FG,FG+,FU,GR,HZ,Heat,MIFG,PrecipTotal,RA,ResultDir,ResultSpeed,SN,SQ,SeaLevel,SnowFall,StationNum,StnPressure,Sunrise,Sunset,TS,TSRA,Tavg,Tmax,Tmin,VCFG,VCTS,WetBulb
9.2,0,0,2.0,0,2007-05-01,0.0,51,0,0,0,,0,0.0,0.0,0.0,0,27,1.7,0,0,29.82,0.0,1,29.1,448.0,1849.0,0,0,67.0,83,50,,0,56.0
13.4,0,1,0.0,0,2007-05-02,0.0,42,0,0,0,,0,14.0,0.0,0.0,0,4,13.0,0,0,30.09,0.0,1,29.38,447.0,1850.0,0,0,51.0,59,42,,0,47.0
11.9,0,0,0.0,0,2007-05-03,0.0,40,0,0,0,,0,9.0,0.0,0.0,0,7,11.7,0,0,30.12,0.0,1,29.39,446.0,1851.0,0,0,56.0,66,46,,0,48.0
10.8,0,0,0.0,0,2007-05-04,0.0,41,0,0,0,,0,7.0,0.0,0.001,1,8,10.4,0,0,30.05,0.0,1,29.31,444.0,1852.0,0,0,58.0,66,49,,0,50.0
12.0,0,0,0.0,0,2007-05-05,0.0,38,0,0,0,,0,5.0,0.0,0.001,0,7,11.7,0,0,30.1,0.0,1,29.4,443.0,1853.0,0,0,60.0,66,53,,0,49.0
15.0,0,0,0.0,0,2007-05-06,0.0,30,0,0,0,,0,6.0,0.0,0.0,0,11,14.4,0,0,30.29,0.0,1,29.57,442.0,1855.0,0,0,59.0,68,49,,0,46.0
10.5,0,0,0.0,0,2007-05-07,0.0,41,0,0,0,,0,0.0,0.0,0.001,1,18,8.6,0,0,30.12,0.0,1,29.38,441.0,1856.0,0,0,65.0,83,47,,0,54.0
5.8,0,1,3.0,0,2007-05-08,0.0,58,0,0,0,,0,0.0,0.0,0.0,0,11,2.7,0,0,30.03,0.0,1,29.29,439.0,1857.0,0,0,68.0,82,54,,0,62.0
6.2,0,1,4.0,0,2007-05-09,0.0,59,0,0,0,,1,0.0,0.0,0.13,0,9,3.9,0,0,29.94,0.0,1,29.21,438.0,1858.0,0,0,69.0,77,61,,0,63.0
4.1,0,1,5.0,0,2007-05-10,0.0,52,0,0,0,,0,0.0,0.0,0.0,0,17,0.7,0,0,29.92,0.0,1,29.2,437.0,1859.0,0,0,70.0,84,56,,0,60.0
12.9,0,0,0.0,0,2007-05-11,0.0,42,0,0,0,,0,4.0,0.0,0.0,0,3,11.3,0,0,30.04,0.0,1,29.33,436.0,1860.0,0,0,61.0,70,51,,0,51.0
12.9,0,0,0.0,0,2007-05-12,0.0,36,0,0,0,,0,10.0,0.0,0.0,0,3,12.4,0,0,30.2,0.0,1,29.49,435.0,1901.0,0,0,55.0,64,46,,0,46.0
8.1,0,0,0.0,0,2007-05-13,0.0,33,0,0,0,,0,9.0,0.0,0.0,0,14,6.6,0,0,30.24,0.0,1,29.49,434.0,1902.0,0,0,56.0,69,43,,0,46.0
17.3,0,0,8.0,0,2007-05-14,0.0,47,0,0,0,,0,0.0,0.0,0.0,0,21,16.9,0,0,29.97,0.0,1,29.23,433.0,1903.0,0,0,73.0,90,56,,0,59.0
